University,Program,Year,Closing_Merit,Total_Seats,Applicants,Admission_Status
Bahria University,Electrical Engineering,2020,78.63,80,645,Closed
NED University of Engineering and Technology,Economics,2023,80.87,60,731,Closed
Riphah International University,Civil Engineering,2018,65.98,60,590,Closed
University of Sargodha,Chemical Engineering,2016,64.98,60,240,Closed
Ghulam Ishaq Khan Institute (GIKI),Software Engineering,2016,95.86,100,818,Closed
University of Gujrat,Biomedical Engineering,2017,71.7,80,387,Closed
National University of Sciences and Technology (NUST),Mathematics,2015,90.85,80,795,Closed
Air University Islamabad,Economics,2018,77.55,,504,Closed
University of Engineering and Technology (UET) Lahore,Software Engineering,2015,93.31,50,783,Closed
University of Sargodha,Economics,2022,65.22,60,663,Closed
National University of Sciences and Technology (NUST),Business Administration,2023,92.87,50,353,Closed
University of Central Punjab (UCP),Chemical Engineering,2022,73.25,120,1693,Closed
University of Management and Technology (UMT),Economics,2023,69.71,60,349,Closed
University of Gujrat,Economics,2017,68.68,40,572,Closed
Punjab University (PU),Business Administration,2019,,100,584,Closed
Bahauddin Zakariya University (BZU) Multan,Computer Science,2021,76.04,40,200,Closed
University of Engineering and Technology (UET) Taxila,Biomedical Engineering,2022,89.85,150,2848,Closed
Punjab University (PU),Civil Engineering,2020,80.07,40,253,Closed
University of Gujrat,Mathematics,2022,66.51,80,739,Closed
Superior University Lahore,Chemical Engineering,2019,65.49,40,458,Closed
University of Sargodha,Chemical Engineering,2020,65.62,50,556,Closed
Ghulam Ishaq Khan Institute (GIKI),Data Science,2018,99.5,80,1643,Closed
NED University of Engineering and Technology,Electrical Engineering,2021,89.57,60,597,Closed
Institute of Space Technology (IST),Data Science,2016,89.9,50,435,Closed
University of Central Punjab (UCP),Computer Science,2018,73.12,60,864,Closed
Quaid-i-Azam University (QAU),Computer Science,2024,95.59,40,636,Closed
Lahore University of Management Sciences (LUMS),Software Engineering,2022,99.5,40,420,Closed
Lahore University of Management Sciences (LUMS),Electrical Engineering,2015,94.82,80,747,Closed
University of the Punjab (Gujranwala Campus),Electrical Engineering,2020,74.53,120,600,Closed
Punjab University (PU),Mathematics,2024,78.39,60,482,Closed
COMSATS University Islamabad,Software Engineering,2018,81.72,150,1910,Closed
Quaid-i-Azam University (QAU),Business Administration,2015,83.87,60,890,Closed
University of Agriculture Faisalabad (UAF),Computer Science,2016,77.7,120,1372,Closed
NED University of Engineering and Technology,Data Science,2018,88.89,80,1167,Closed
NED University of Engineering and Technology,Data Science,2020,91.67,40,355,Closed
University of Management and Technology (UMT),Mathematics,2015,69.0,100,1005,Closed
University of Agriculture Faisalabad (UAF),Artificial Intelligence,2019,80.15,60,563,Closed
University of the Punjab (Gujranwala Campus),Mechanical Engineering,2022,74.7,40,283,Closed
Punjab University (PU),Artificial Intelligence,2017,88.32,100,1756,Closed
University of Karachi,Computer Science,2018,80.69,150,1007,Closed
University of Engineering and Technology (UET) Taxila,Business Administration,2023,86.7,120,811,Closed
Air University Islamabad,Artificial Intelligence,2015,84.59,50,831,Closed
Ghulam Ishaq Khan Institute (GIKI),Biomedical Engineering,2021,94.01,40,215,Closed
Institute of Space Technology (IST),Software Engineering,2017,86.09,100,1589,Closed
University of Engineering and Technology (UET) Lahore,Computer Science,2019,164.51,100,970,Closed
Mehran University of Engineering and Technology,Computer Science,2015,81.37,50,814,Closed
University of Sargodha,Mathematics,2023,68.51,80,897,Closed
